Key,Type,Desc,English (United States),Chinese
HowToPlay/Test Site Body,Text,,"The *Test Site* is a sandbox environment with no budget restrictions, where you can experiment with layouts and create blueprints for use in the Campaign or Contracts Mode. 

There are no orders placed in a test site kitchen, instead you are free to produce whichever of the recipes you wish. ","*測試場地*是沙盒環境，沒有預算限制，你可以對佈局進行測試，並創建藍圖，供劇情模式或合約模式使用。

測試場地的廚房中不會出現訂單，你可以根據食譜隨意生產自己想要的菜肴。 "
HowToPlay/TestSiteBody,Text,,"The Test Site is a sandbox environment with no budget restrictions, where you can experiment with layouts and create blueprints for use in the Campaign or Contracts Mode. 

There are no orders placed in a test site kitchen, instead you are free to produce whichever of the recipes you wish. ","測試場地是沙盒環境，沒有預算限制，你可以對佈局進行測試，並創建藍圖，供劇情模式或合約模式使用。

測試場地的廚房中不會出現訂單，你可以根據食譜隨意生產自己想要的菜肴。 "
HowToPlay/TestSiteTitle,Text,,Test Site,測試場地
HowToPlay/TransformBody,Text,,"*Transform* machines include *cooking machines* and the *food processor*.

*Cooking machines* will turn a raw ingredient into a cooked variant. Ensure that there is a means of removing the cooked food from a cooker, as if it remains on the cooker for too long it can turn into ash, or even catch fire!

The *food processor* will automatically break down a raw ingredient into a chopped/sliced/shredded variant, it requires no additional set up. Make sure to pay attention to dish recipes, as certain ingredients (such as cheese) can be put through a food processor multiple times.

The *food steamer* and the *oven* are only used for some specific recipes and have their very own quirks. The *oven* takes a long time to cook food and it has a lid to ensure that heat cannot escape, however that also means that robotic arms cannot place or pick up ingredients on the side where the lid is. The *food steamer*, unlike other cooking machines, does not represent a fire hazard. However, it requires a connection to a storage tank filled with water via a pump in order to operate.","*變形*機器包含*烹飪機器*與*食品處理機*。

*烹飪機器*可以將生食材變為熟食材。請務必確保在食品變熟後採用相應辦法將其從烹飪機器中取出，否則烹飪時間過長會導致食物化為灰燼，甚至引發火災！

*食品處理機*會自動將生食材變為切碎/切片/剁碎的狀態，也不需要進行額外的設置。不要忘記隨時留意食譜，有些特定的食材（比如奶酪）可以多次進入食品處理機進行處理。

*食品蒸制機*和*烤箱*只在某些特別的食譜中使用，而且具備一些特有的屬性。*烤箱*烹飪食物的時間較長，而且還有防止熱量逸散的蓋子。然而，這也意味着機械無法從蓋子的方向放置或拾取食材。*食品蒸制機*和其他烹飪機器不同，它沒有造成火災的風險。然而，只有使用泵機將其與裝水的儲罐連接到一起，才能使用。"
HowToPlay/TransformTitle,Text,,Machines - Transform,機器 - 變形
HowToPlay/TransportBody,Text,,"*Transport* machines play the vital role of moving food around the kitchen.

Conveyor belts are the cheapest and easiest way of moving food around a kitchen, but Robot Arms will always be needed to move food from a Conveyor Belt to another (non-conveyor belt) machine. Robotic arms will need to have their direction configured, to ensure any food they pick up is placed in the correct location.

There are four types of robot arm:

*Robotic Arm (Dumb)* will pick up any ingredient that is placed in front of them.

*Robotic Arm (Long)* can pick up and place down items from 2 tiles away, instead of the usual 1 tile. They can also be configured to pick up specific items, and whether to filter spoiled dishes.

*Robotic arm (Smart)* can be configured to pick up specific items, and whether to filter spoiled dishes.

*Robotic arm (Stacking)* Can pick up 3 ingredients at once, and can also be configured to pick up specific items, and whether to filter spoiled dishes.","*運輸*機器的作用至關重要，負責在廚房中運送食物。

要在廚房中移動食物，使用傳送帶是最經濟、也是最簡單的方法，但如果要將傳送帶上的食物移動到其他（非傳送帶）的機器中，則需要使用機械臂進行拾取。你需要為機械臂設置特定的方向，方可確保其將物品放置到正確的位置。

機械臂共分四個類型：

*機械臂（非智能）*會拾取放在其前方的任意食材。

*機械臂（長）*可以拾取和放下2個方格遠的食材，範圍比普通的1個方格更遠。同時，你也可以對其進行設置，令其拾取特定的物品，還可以選擇令其自動篩除變質的菜肴。

*機械臂（智能）*可以進行設置並拾取特定的物品，還可以經過設置後自動篩除變質的菜肴。

*機械臂（堆疊）*一次可拾取3個食材，還可以進行設置並拾取特定的物品，也可以經過設置後自動篩除變質的菜肴。"
HowToPlay/TransportTitle,Text,,Machines - Transport,機器 - 運輸
In Sim Mode/Fire Extinguisher,Text,,Click on an adjacent part to use the fire extinguisher on it.,點擊相鄰部件即可對其使用滅火器。
Info Lenses/Bacteria,Text,,Bacteria,細菌
Info Lenses/Fire,Text,,Fire Hazard,火災危險
Info Lenses/Insects,Text,,Infestation Hazard,蟲災危險
Info Lenses/None,Text,,None,無
Info Lenses/On Off,Text,,On / Off,開/關
Info Lenses/Power,Text,,Power Usage,電力消耗
Ingredients/AshPile,Text,,Ash Pile,灰燼
Ingredients/BBQSauce,Text,,BBQ Sauce,燒烤醬
Ingredients/BaconStrips,Text,,Bacon Strips,培根條
Ingredients/BreadSlice,Text,,Bread Slice,麵包片
Ingredients/Breadcrumbs,Text,,Breadcrumbs,麵包屑
Ingredients/BreadedChickenPieces,Text,,Breaded Chicken Pieces,麵包屑裹雞塊
Ingredients/BurgerBun,Text,,Burger Bun,漢堡麵包
Ingredients/CNBellPepper,Text,,Bell Pepper,燈籠椒
Ingredients/CNChickenStock,Text,,Chicken Stock,雞湯
Ingredients/CNChoppedBellPepper,Text,,Chopped Bell Pepper,切碎的燈籠椒
Ingredients/CNCookedPork,Text,,Cooked Pork,熟豬肉
Ingredients/CNDriedChili,Text,,Dried Chili,幹辣椒
Ingredients/CNDumplingFilling,Text,,Dumpling Filling,餃子餡
Ingredients/CNDumplingWrapper,Text,,Dumpling Wrapper,餃子皮
Ingredients/CNDumplings,Text,,Dumplings,餃子
Ingredients/CNDumplingsUncooked,Text,,Dumplings (uncooked),餃子（生）
Ingredients/CNGinger,Text,,Ginger,薑
Ingredients/CNGratedGinger,Text,,Grated Ginger,薑末
Ingredients/CNGroundPork,Text,,Ground Pork,豬肉餡
Ingredients/CNPork,Text,,Pork,豬肉
Ingredients/CNRice,Text,,Rice,米
Ingredients/CNSoySauce,Text,,Soy Sauce,醬油
Ingredients/CNSteamedRice,Text,,Steamed Rice,蒸米飯
Ingredients/CNWater,Text,,Water,水
Ingredients/Carrot,Text,,Carrot,胡蘿蔔
Ingredients/CarrotSlices,Text,,Carrot Slices,胡蘿蔔片
Ingredients/Cheese,Text,,Cheese,奶酪
Ingredients/CheeseSlice,Text,,Cheese Slice,奶酪片
Ingredients/ChoppedMushroom,Text,,Chopped Mushroom,蘑菇丁
Ingredients/CookedHotDog,Text,,Cooked Hot Dog,熟熱狗腸
Ingredients/CookedMincedMeat,Text,,Cooked Minced Meat,熟肉末
Ingredients/CrispyBaconStrips,Text,,Crispy Bacon Strips,脆培根條
Ingredients/Croutons,Text,,Croutons,炸麵包塊
Ingredients/Egg,Text,,Egg,雞蛋
Ingredients/EggContents,Text,,Egg Contents,蛋液
Ingredients/FriedBreadedChickenPieces,Text,,Fried Chicken Pieces,炸雞塊
Ingredients/FriedEgg,Text,,Fried Egg,煎蛋
Ingredients/FriedPotatoWedges,Text,,Fried Potato Wedges,炸薯角
Ingredients/GratedCheese,Text,,Grated Cheese,奶酪粉
Ingredients/GrilledChicken,Text,,Grilled Chicken,烤雞
Ingredients/GrilledChickenPieces,Text,,Grilled Chicken Pieces,烤雞塊
Ingredients/GrilledMushroom,Text,,Grilled Mushroom,烤蘑菇
Ingredients/Honey,Text,,Honey,蜂蜜
Ingredients/HoneyMustardDressing,Text,,Honey Mustard Dressing,蜂蜜芥末調味汁
Ingredients/HotDogBun,Text,,Hot Dog Bun,熱狗麵包
Ingredients/HotSauce,Text,,Hot Sauce,辣醬
Ingredients/Insects,Text,,Pile of Cockroaches,蟑螂堆
Ingredients/Insects2,Text,,Ball of Spiders,蜘蛛團
Ingredients/Insects3,Text,,Worms Mayhem,Worms Mayhem
Ingredients/Ketchup,Text,,Ketchup,番茄醬
Ingredients/Lettuce,Text,,Lettuce,生菜
Ingredients/Mayo,Text,,Mayo,蛋黃醬
Ingredients/MincedMeat,Text,,Minced Meat,肉末
Ingredients/Mushroom,Text,,Mushroom,蘑菇
Ingredients/Mustard,Text,,Mustard,芥末
Ingredients/Patty,Text,,Cooked Patty,熟肉餅
Ingredients/Potato,Text,,Potato,土豆
Ingredients/PotatoPuree,Text,,Potato Puree,土豆濃湯
Ingredients/PotatoWedges,Text,,Potato Wedges,薯角
Ingredients/RawChicken,Text,,Raw Chicken,生雞肉
Ingredients/RawChickenPieces,Text,,Raw Chicken Pieces,生雞塊
Ingredients/RawHotDog,Text,,Raw Hot Dog,生熱狗腸
Ingredients/RawPatty,Text,,Raw Patty,生肉餅
Ingredients/SaladDressing,Text,,Salad Dressing,沙拉調味汁
Ingredients/ShreddedCarrot,Text,,Shredded Carrot,胡蘿蔔丁
Ingredients/ShreddedLettuce,Text,,Shredded Lettuce,生菜絲
Ingredients/SpicyBBQSauce,Text,,Spicy BBQ Sauce,辣味燒烤醬
Ingredients/SpicyMayo,Text,,Spicy Mayo,辣味蛋黃醬
Ingredients/TGButter,Text,,Butter,黃油
Ingredients/TGChoppedOnion,Text,,Chopped Onion,洋蔥丁
Ingredients/TGCondensedMilk,Text,,Condensed Milk,煉乳
Ingredients/TGCornbreadUncooked,Text,,Cornbread (uncooked),玉米麵包（生）
Ingredients/TGCornmeal,Text,,Cornmeal,燕麥片
Ingredients/TGFreshHerbs,Text,,Fresh Herbs,新鮮香料
Ingredients/TGMilk,Text,,Milk,牛奶
Ingredients/TGOnion,Text,,Onion,洋蔥
Ingredients/TGPieCrust,Text,,Pie Crust,派皮
Ingredients/TGPumpkinPieUncooked,Text,,Pumpkin Pie (uncooked),南瓜派（生）
Ingredients/TGPumpkinPuree,Text,,Pumpkin Puree,南瓜泥
Ingredients/TGRawTurkey,Text,,Raw Turkey,生火雞
Ingredients/TGRoastTurkeyUncooked,Text,,Roast Turkey (uncooked),烤火雞（生）
Ingredients/TGRoastedPumpkin,Text,,Roasted Pumpkin,烤南瓜
Ingredients/TGRoastedPumpkinPuree,Text,,Roasted Pumpkin Puree,烤南瓜泥
Ingredients/TGRoastedSweetPotatoes,Text,,Roasted Sweet Potatoes,烤番薯
Ingredients/TGSweetPotato,Text,,Sweet Potato,番薯
Ingredients/TGSweetPotatoPuree,Text,,Sweet Potato Puree,番薯泥
Ingredients/TGSweetPotatoWedges,Text,,Sweet Potato Wedges,番薯角
Ingredients/TGSweetPumpkin,Text,,Sweet Pumpkin,甜南瓜
Ingredients/TGTurkeyStuffing,Text,,Turkey Stuffing,火雞餡料
Ingredients/ToastedBreadSlice,Text,,Toasted Bread Slice,烤麵包片
Ingredients/Tomato,Text,,Tomato,西紅柿
Ingredients/TomatoPuree,Text,,Tomato Puree,西紅柿濃湯
Ingredients/TomatoSlice,Text,,Tomato Slice,西紅柿片
Ingredients/WetGoop,Text,,Wet Goop,潮濕粘液
Level Titles/Level-1,Text,,First Taste…,初嘗滋味
Level Titles/Level-10,Text,,Combo Chaos,組合混亂
Level Titles/Level-11,Text,,Sounds Delicious,聽得見的好味道
Level Titles/Level-12,Text,,Pier Pressure,碼頭高壓
Level Titles/Level-13,Text,,High Friers,油炸天才
Level Titles/Level-14,Text,,With Flying Colours,精彩紛呈
Level Titles/Level-15,Text,,New Creation,全新創造
Level Titles/Level-16,Text,,Energy Bar,能量棒
Level Titles/Level-17,Text,,Meals On Wheels,送餐車
Level Titles/Level-18,Text,,Beautiful Summer,美麗夏日
Level Titles/Level-19,Text,,Something On The Side,完美搭配
Level Titles/Level-2,Text,,Lettuce Begin,生菜來襲
Level Titles/Level-20,Text,,Seas The Day,海上狂歡
Level Titles/Level-21,Text,,Fryer In The Hole,大爆''炸''
Level Titles/Level-22,Text,,Spicy Does It,無辣不歡
